id,name,tier,city,conference,division,enrollment,student_faculty_ratio,acceptance_rate,out_of_state_cost,drive_to_canadian_border,drive_hours,us_news_rank,head_coach,contact,questionnaire,summary,verdict,profile_complete
umass-lowell,UMass Lowell,core,"Lowell, Massachusetts",America East,NCAA D1,18000,17:1,83%,"$37,460",3.5–4 hr,3.75,#151,Kyle Zenoni,Kyle_Zenoni@uml.edu,goriverhawks.com/sports/2014/7/25/general_0725144713,"Easiest door on the Core 12, and closer to the border than either Boston school.","The value and access play. Modest soccer, cheap housing, and a realistic drive home.",True
iu-indianapolis,IU Indianapolis,core,"Indianapolis, Indiana",Horizon League,NCAA D1,19000,13:1,—,"$35,227",5–5.5 hr,5.25,#192,Keegan Boom,kboom@iu.edu,Recruiting guide PDF on iuindyjags.com,"A defensive side that scores from penalties — ideal for a defender, a question mark for a forward.",Cheapest option with the second-best teaching ratio. The graduation and earnings numbers are the honest counterweight.,True
fiu,FIU,extra,"Miami, Florida",American,NCAA D1,54700,22:1,55%,"$18,964",23 hr,23,#97,Kyle Russell,krussell@fiu.edu,college.jumpforward.com/questionnaire.aspx?iid=376&sportid=21,"Cheapest out-of-state tuition in the entire research, by a wide margin.","If cost is a live constraint, this reshapes the list. Verify international rates separately.",True
georgia-state,Georgia State,extra,"Atlanta, Georgia",Sun Belt,NCAA D1,51000,25:1,—,"$31,320",13–14 hr,13.5,#198,Brett Surrency,bsurrency@gsu.edu,None posted — email direct,Seventeen years of coaching stability and the best airport on either list.,Buy the coaching stability and the airport. Confirm what campus life actually looks like.,True
kennesaw-state,Kennesaw State,extra,"Kennesaw, Georgia",Conference USA,NCAA D1,47000,23:1,68–69%,"$22,278",13–14 hr,13.5,#373,Not found — call the athletics department,Not found,Not found,"Program confirmed to exist, but no public information about it. Phone them.","Cheap and confirmed, but unknowable from a desk. Low priority until you've spoken to someone there.",False
nc-state,NC State,extra,"Raleigh, North Carolina",ACC,NCAA D1,38000,15:1,—,"$33,993",11 hr,11,#64,Marc Hubbard,mens_soccer@ncsu.edu,gopack.com/sports/2015/4/27/GEN_20140101185,"2025 national runners-up, picked first in the ACC, and cheaper than most of the Core 12.","Arguably the best soccer-per-dollar on the whole list, with Boston-level internship density next door.",True
unc,UNC Chapel Hill,extra,"Chapel Hill, North Carolina",ACC,NCAA D1,32000,14:1,~8% out-of-state,"$45,228",11 hr,11,#22,Carlos Somoano,csomoano@uncaa.unc.edu,None posted,The best combination of soccer and academics anywhere here — and the hardest door to open.,Worth pursuing precisely because athletics is the one route in. Have the admissions conversation with the staff before investing.,True
unc-charlotte,UNC Charlotte,extra,"Charlotte, North Carolina",American,NCAA D1,31000,21:1,~80%,"$22,274",10 hr,10,#143,Kevin Langan,Site blocks access — visit charlotte49ers.com,Not retrieved,Possibly the strongest value combination in the entire research.,"A winning program, forgiving admission, low cost, ten hours from home, direct flights. The only gap is the blocked staff directory.",True
fau,Florida Atlantic,extra,"Boca Raton, Florida",American,NCAA D1,31000,24:1,~73%,"$21,655",22 hr,22,#183,Joey Worthen,Not yet retrieved,Not yet retrieved,"Lowest net price in the research, attached to a program that just broke through.","Cheapest realistic option once aid is counted, on a rising program that recruits Canadians. Contacts still need gathering.",True
clemson,Clemson,extra,"Clemson, South Carolina",ACC,NCAA D1,28000,16:1,38–49%,"$60,000+ all-in",12–13 hr,12.5,#75,Mike Noonan,Not yet retrieved,Not yet retrieved,The best professional pathway in college soccer right now.,"If professional soccer is the goal and $60,000 is absorbable, this is the strongest case anywhere. If not, Charlotte gives you most of it for a third.",True
georgia-southern,Georgia Southern,extra,"Statesboro, Georgia",Sun Belt,NCAA D1,26500,24:1,88–90%,"$21,784",15 hr,15,#343,Lee Squires,gsumenssoccer@georgiasouthern.edu,questionnaires.armssoftware.com/350ec954fad8,"Easiest admission in the research, attached to a team that was ranked sixth nationally.",Ranked sixth in the country last year and you can get in with an 88% admit rate. The open question is whether 2025 was a step change or a spike.,True
nova-southeastern,Nova Southeastern,extra,"Davie, Florida",Sunshine State,NCAA D2,7311,16:1,76%,"$40,200",22 hr,22,#257,Matt McArthur,Not yet retrieved,Not yet retrieved,A heavily international squad — but a small undergraduate college inside a health-professions university.,The international roster is a real positive. Everything else points elsewhere unless marine science appeals.,True
keiser,Keiser,extra,"West Palm Beach, Florida",Sun Conference,NAIA,1500,—,96–97%,"~$34,000–39,700",21 hr,21,—,Gavin Oldham,Not yet retrieved,Not yet retrieved,"Excellent soccer at a 1,500-student career college. NAIA eligibility rules are the useful part.","Great soccer, wrong academics. Worth knowing for the NAIA eligibility route more than the school itself.",True
uncw,UNC Wilmington,extra,"Wilmington, North Carolina",CAA,NCAA D1,15254,17:1,62–68%,"$25,420 ($42,603 intl)",12 hr,12,#198,Aidan Heaney,Not yet retrieved,Not yet retrieved,The clearest evidence anywhere that freshmen actually play.,"If early minutes matter more than the badge, this is the strongest evidence on the list. Check the international tuition first.",True
uncg,UNC Greensboro,extra,"Greensboro, North Carolina",SoCon,NCAA D1,14416,18:1,89–90%,"$24,014",11 hr,11,#198,Chris Rich,Not yet retrieved,Not yet retrieved,"Ranked last by size, and one of the four or five best soccer programs in this entire research.","The biggest mismatch here between soccer quality and list position. If soccer per dollar is the criterion, this belongs near the top.",True
toronto,University of Toronto,canada,"Toronto, Ontario",OUA East,U SPORTS,98000,—,—,Domestic tuition,Home,0,Canada #1,Ilya Orlov,ilya.orlov@utoronto.ca,varsityblues.ca/sb_output.aspx?form=3,"The oldest program in this research, in a rebuild year with nine starters gone.","The strongest academic institution available at domestic prices, mid-rebuild, with a coach openly looking to younger players.",True
york,York University,canada,"Toronto, Ontario",OUA East,U SPORTS,55000,—,—,Domestic tuition,Home,0,Canada,Carmine Isacco,cisacco@yorku.ca,yorkulions.ca/sb_output.aspx?form=3,"Reigning national champions, with a roster built from MLS Next Pro and League1 Ontario.","If the Canadian route is live at all, this is the first call.",True
western,Western University,canada,"London, Ontario",OUA West,U SPORTS,40000,—,—,Domestic tuition,~2 hr to Windsor,2,Canada,Martin Painter,mpainter@uwo.ca,Not posted,Best traditional campus of the three — but the head coach runs two programs at once.,Best campus experience of the three. The divided coaching role and the two-year Ivey pathway are the questions to resolve.,True
